,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instramentalness,Liveness,Valence,Tempo,Type,ID,URI,Track Href,Analysis URL,Duration (ms),Time Signature
10,115万キロのフィルム,0.514,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.482,96.966,audio_features,278JqkBGkjDovOYAwE8TW7,spotify:track:278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,324633,4
11,Small Planet,0.615,0.953,11,-2.996,1,0.0544,0.0797,0.0186,0.198,0.766,119.947,audio_features,6eRs5SaiDOaGJ5AceBnrsk,spotify:track:6eRs5SaiDOaGJ5AceBnrsk,https://api.spotify.com/v1/tracks/6eRs5SaiDOaGJ5AceBnrsk,https://api.spotify.com/v1/audio-analysis/6eRs5SaiDOaGJ5AceBnrsk,151773,4
12,マリーゴールド,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,audio_features,0jWVUKsIoyo3zw64RaEWYg,spotify:track:0jWVUKsIoyo3zw64RaEWYg,https://api.spotify.com/v1/tracks/0jWVUKsIoyo3zw64RaEWYg,https://api.spotify.com/v1/audio-analysis/0jWVUKsIoyo3zw64RaEWYg,306627,4
13,Hakujitsu,0.605,0.891,1,-3.242,1,0.115,0.562,0.0,0.322,0.697,93.011,audio_features,4wel6DQu0dMVBRVn2ZTPoy,spotify:track:4wel6DQu0dMVBRVn2ZTPoy,https://api.spotify.com/v1/tracks/4wel6DQu0dMVBRVn2ZTPoy,https://api.spotify.com/v1/audio-analysis/4wel6DQu0dMVBRVn2ZTPoy,276373,4
14,Overflow,0.729,0.896,1,-5.378,1,0.074,0.183,0.0,0.336,0.848,120.038,audio_features,0oWEKdOaSIKqI5uzxvXs1u,spotify:track:0oWEKdOaSIKqI5uzxvXs1u,https://api.spotify.com/v1/tracks/0oWEKdOaSIKqI5uzxvXs1u,https://api.spotify.com/v1/audio-analysis/0oWEKdOaSIKqI5uzxvXs1u,201427,4
15,Gurenge,0.545,0.979,4,-2.8,0,0.153,0.00339,0.000118,0.0775,0.309,135.002,audio_features,23DbzwNJSLo7nkSWjODMvY,spotify:track:23DbzwNJSLo7nkSWjODMvY,https://api.spotify.com/v1/tracks/23DbzwNJSLo7nkSWjODMvY,https://api.spotify.com/v1/audio-analysis/23DbzwNJSLo7nkSWjODMvY,238587,4
16,Hikoutei,0.475,0.841,1,-2.94,1,0.0446,0.0711,0.0,0.358,0.469,79.93,audio_features,6Ea33AvEANARkK2QduzhRm,spotify:track:6Ea33AvEANARkK2QduzhRm,https://api.spotify.com/v1/tracks/6Ea33AvEANARkK2QduzhRm,https://api.spotify.com/v1/audio-analysis/6Ea33AvEANARkK2QduzhRm,260893,4
17,Sayonara Elegy,0.466,0.934,1,-2.739,1,0.0539,0.00333,0.0,0.277,0.62,154.966,audio_features,0QKmcZNAST4GytJYmkN05D,spotify:track:0QKmcZNAST4GytJYmkN05D,https://api.spotify.com/v1/tracks/0QKmcZNAST4GytJYmkN05D,https://api.spotify.com/v1/audio-analysis/0QKmcZNAST4GytJYmkN05D,257067,4
18,Interlude,0.295,0.362,8,-11.611,1,0.0331,0.734,0.923,0.348,0.104,35.316,audio_features,7dwaamkVTLD92ac3Oc7C9v,spotify:track:7dwaamkVTLD92ac3Oc7C9v,https://api.spotify.com/v1/tracks/7dwaamkVTLD92ac3Oc7C9v,https://api.spotify.com/v1/audio-analysis/7dwaamkVTLD92ac3Oc7C9v,56480,4
19,高嶺の花子さん,0.54,0.923,9,-2.838,1,0.0623,0.066,0.0,0.124,0.343,137.977,audio_features,2jdbZGFp8KVTuk0YxDNL4l,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,294813,4
